Node,Username,Start Time,Duration,Service,Active,Auth,Real Ip,Vpn Ip,Proto,Port,Bytes Total,Error
openvpn-server,Frances.P,2022.05.02 07:50:50 EDT,18931,VPN,0,1,172.19.189.217,10.128.20.239,UDP,1194,3652130658,
openvpn-server,Madison.K,2022.05.02 08:22:19 EDT,39045,VPN,0,1,172.27.202.207,10.128.20.136,UDP,1194,9910987575,
openvpn-server,Arthur.B,2022.05.02 08:50:53 EDT,,VPN,0,0,172.19.145.130,,UDP,1194,,user not found
openvpn-server,Frances.P,2022.05.02 09:11:05 EDT,9475,VPN,0,1,172.23.57.59,10.128.20.153,UDP,1194,745767775,
openvpn-server,Amber.U,2022.05.02 09:43:16 EDT,20864,VPN,0,1,172.19.211.152,10.128.20.5,UDP,1194,2706311168,
openvpn-server,James.G,2022.05.02 09:59:28 EDT,21807,VPN,0,1,172.27.10.178,10.128.20.4,UDP,1194,5127109191,
openvpn-server,Grace.W,2022.05.02 10:21:43 EDT,26229,VPN,0,1,172.31.71.192,10.128.20.102,UDP,1194,6676644408,
openvpn-server,Jeremy.G,2022.05.02 10:47:22 EDT,14633,VPN,0,1,172.23.25.84,10.128.20.178,UDP,1194,683375733,
openvpn-server,Mason.W,2022.05.02 11:12:37 EDT,5020,VPN,0,1,172.26.71.161,10.128.20.101,UDP,1194,1091342980,
openvpn-server,Teresa.Y,2022.05.02 11:28:55 EDT,17989,VPN,0,1,172.20.62.173,10.128.20.43,UDP,1194,728392599,
openvpn-server,Benjamin.G,2022.05.02 11:50:50 EDT,14151,VPN,0,1,172.30.255.222,10.128.20.111,UDP,1194,83094672,
openvpn-server,Brenda.J,2022.05.02 12:04:10 EDT,,VPN,0,0,172.27.180.48,,UDP,1194,,user not found
openvpn-server,Debra.Q,2022.05.02 12:15:46 EDT,24130,VPN,0,1,172.21.138.71,10.128.20.208,UDP,1194,4499231540,
openvpn-server,Frances.L,2022.05.02 12:42:15 EDT,24583,VPN,0,1,172.16.130.245,10.128.20.118,UDP,1194,6101279353,
openvpn-server,George.S,2022.05.02 13:03:31 EDT,11901,VPN,0,1,172.18.181.35,10.128.20.168,UDP,1194,1568980236,
openvpn-server,Tyler.Y,2022.05.02 13:21:10 EDT,9073,VPN,0,1,172.31.136.137,10.128.20.114,UDP,1194,1101035769,
openvpn-server,Brandon.J,2022.05.02 13:46:12 EDT,3568,VPN,0,1,172.22.178.76,10.128.20.94,UDP,1194,195679824,
openvpn-server,Emily.V,2022.05.02 14:14:29 EDT,4556,VPN,0,1,172.21.189.42,10.128.20.119,UDP,1194,1237965432,
openvpn-server,Aaron.W,2022.05.02 14:40:58 EDT,,VPN,0,0,172.31.172.170,,UDP,1194,,user not found
openvpn-server,Jeremy.G,2022.05.02 14:52:17 EDT,17503,VPN,0,1,172.18.73.6,10.128.20.106,UDP,1194,4218205497,
openvpn-server,Zachary.J,2022.05.02 15:21:03 EDT,8127,VPN,0,1,172.28.172.93,10.128.20.160,UDP,1194,1970399277,
openvpn-server,Amber.U,2022.05.02 15:51:10 EDT,12069,VPN,0,1,172.19.207.76,10.128.20.22,UDP,1194,50194971,
openvpn-server,James.G,2022.05.02 16:20:28 EDT,3387,VPN,0,1,172.20.169.194,10.128.20.224,UDP,1194,131805105,
openvpn-server,Tyler.Y,2022.05.02 16:50:41 EDT,4554,VPN,0,1,172.28.97.164,10.128.20.66,UDP,1194,464143680,
openvpn-server,Ronald.V,2022.05.02 17:11:38 EDT,7233,VPN,0,1,172.31.215.230,10.128.20.90,UDP,1194,842102025,
openvpn-server,George.S,2022.05.02 17:47:08 EDT,6795,VPN,0,1,172.31.35.128,10.128.20.251,UDP,1194,688849920,
openvpn-server,Teresa.Y,2022.05.02 18:02:50 EDT,6887,VPN,0,1,172.25.31.17,10.128.20.38,UDP,1194,1081568915,
openvpn-server,Benjamin.G,2022.05.02 18:27:30 EDT,7523,VPN,0,1,172.19.185.155,10.128.20.130,UDP,1194,433904071,
openvpn-server,Nathan.Q,2022.05.02 18:43:47 EDT,3548,VPN,0,1,172.24.165.53,10.128.20.156,UDP,1194,427487876,
openvpn-server,Madison.K,2022.05.03 07:22:46 EDT,29504,VPN,0,1,172.18.163.169,10.128.20.149,UDP,1194,2174739840,
openvpn-server,Zachary.J,2022.05.03 08:00:56 EDT,16201,VPN,0,1,172.26.37.249,10.128.20.209,UDP,1194,767214556,
openvpn-server,Debra.Q,2022.05.03 08:15:57 EDT,,VPN,0,0,172.16.181.230,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
